,Area,AreaName,StateAb,State,CountyTownName
406,600002,Eastern Sierra Region of California nonmetropolitan area,CA,CALIFORNIA,ALPINE
407,600001,Mother Lode Region of California nonmetropolitan area,CA,CALIFORNIA,AMADOR
408,600001,Mother Lode Region of California nonmetropolitan area,CA,CALIFORNIA,CALAVERAS
409,600004,North Valley Region of California nonmetropolitan area,CA,CALIFORNIA,COLUSA
410,600003,North Coast Region of California nonmetropolitan area,CA,CALIFORNIA,DEL NORTE
411,600004,North Valley Region of California nonmetropolitan area,CA,CALIFORNIA,GLENN
412,600003,North Coast Region of California nonmetropolitan area,CA,CALIFORNIA,HUMBOLDT
413,600002,Eastern Sierra Region of California nonmetropolitan area,CA,CALIFORNIA,INYO
414,600003,North Coast Region of California nonmetropolitan area,CA,CALIFORNIA,LAKE
415,600005,Northern Mountains Region of California nonmetropolitan area,CA,CALIFORNIA,LASSEN
416,600001,Mother Lode Region of California nonmetropolitan area,CA,CALIFORNIA,MARIPOSA
417,600003,North Coast Region of California nonmetropolitan area,CA,CALIFORNIA,MENDOCINO
418,600005,Northern Mountains Region of California nonmetropolitan area,CA,CALIFORNIA,MODOC
419,600002,Eastern Sierra Region of California nonmetropolitan area,CA,CALIFORNIA,MONO
420,600005,Northern Mountains Region of California nonmetropolitan area,CA,CALIFORNIA,NEVADA
421,600005,Northern Mountains Region of California nonmetropolitan area,CA,CALIFORNIA,PLUMAS
422,600005,Northern Mountains Region of California nonmetropolitan area,CA,CALIFORNIA,SIERRA
423,600005,Northern Mountains Region of California nonmetropolitan area,CA,CALIFORNIA,SISKIYOU
424,600004,North Valley Region of California nonmetropolitan area,CA,CALIFORNIA,TEHAMA
425,600005,Northern Mountains Region of California nonmetropolitan area,CA,CALIFORNIA,TRINITY
426,600001,Mother Lode Region of California nonmetropolitan area,CA,CALIFORNIA,TUOLUMNE
1422,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",CA,CALIFORNIA,ALAMEDA
1423,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",CA,CALIFORNIA,CONTRA COSTA
1424,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",CA,CALIFORNIA,LOS ANGELES
1425,42034,"San Rafael, CA Metropolitan Division",CA,CALIFORNIA,MARIN
1426,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",CA,CALIFORNIA,ORANGE
1427,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",CA,CALIFORNIA,SAN FRANCISCO
1428,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",CA,CALIFORNIA,SAN MATEO
3295,17020,"Chico, CA MSA",CA,CALIFORNIA,BUTTE
3296,40900,"Sacramento--Roseville--Arden-Arcade, CA MSA",CA,CALIFORNIA,EL DORADO
3297,23420,"Fresno, CA MSA",CA,CALIFORNIA,FRESNO
3298,20940,"El Centro, CA MSA",CA,CALIFORNIA,IMPERIAL
3299,12540,"Bakersfield, CA MSA",CA,CALIFORNIA,KERN
3300,25260,"Hanford-Corcoran, CA MSA",CA,CALIFORNIA,KINGS
3301,31460,"Madera, CA MSA",CA,CALIFORNIA,MADERA
3302,32900,"Merced, CA MSA",CA,CALIFORNIA,MERCED
3303,41500,"Salinas, CA MSA",CA,CALIFORNIA,MONTEREY
3304,34900,"Napa, CA MSA",CA,CALIFORNIA,NAPA
3305,40900,"Sacramento--Roseville--Arden-Arcade, CA MSA",CA,CALIFORNIA,PLACER
3306,40140,"Riverside-San Bernardino-Ontario, CA MSA",CA,CALIFORNIA,RIVERSIDE
3307,40900,"Sacramento--Roseville--Arden-Arcade, CA MSA",CA,CALIFORNIA,SACRAMENTO
3308,41940,"San Jose-Sunnyvale-Santa Clara, CA MSA",CA,CALIFORNIA,SAN BENITO
3309,40140,"Riverside-San Bernardino-Ontario, CA MSA",CA,CALIFORNIA,SAN BERNARDINO
3310,41740,"San Diego-Carlsbad, CA MSA",CA,CALIFORNIA,SAN DIEGO
3311,44700,"Stockton-Lodi, CA MSA",CA,CALIFORNIA,SAN JOAQUIN
3312,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",CA,CALIFORNIA,SAN LUIS OBISPO
3313,42200,"Santa Maria-Santa Barbara, CA MSA",CA,CALIFORNIA,SANTA BARBARA
3314,41940,"San Jose-Sunnyvale-Santa Clara, CA MSA",CA,CALIFORNIA,SANTA CLARA
3315,42100,"Santa Cruz-Watsonville, CA MSA",CA,CALIFORNIA,SANTA CRUZ
3316,39820,"Redding, CA MSA",CA,CALIFORNIA,SHASTA
3317,46700,"Vallejo-Fairfield, CA MSA",CA,CALIFORNIA,SOLANO
3318,42220,"Santa Rosa, CA MSA",CA,CALIFORNIA,SONOMA
3319,33700,"Modesto, CA MSA",CA,CALIFORNIA,STANISLAUS
3320,49700,"Yuba City, CA MSA",CA,CALIFORNIA,SUTTER
3321,47300,"Visalia-Porterville, CA MSA",CA,CALIFORNIA,TULARE
3322,37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",CA,CALIFORNIA,VENTURA
3323,40900,"Sacramento--Roseville--Arden-Arcade, CA MSA",CA,CALIFORNIA,YOLO
3324,49700,"Yuba City, CA MSA",CA,CALIFORNIA,YUBA
