"Area","AreaName","StateAb","State","CountyTownName"
"200001","Southeast Alaska nonmetropolitan area","AK","ALASKA","PETERSBURG"
"200001","Southeast Alaska nonmetropolitan area","AK","ALASKA","PRINCE OF WALES-HYDER"
"200001","Southeast Alaska nonmetropolitan area","AK","ALASKA","FEDERAL AREA"
"200001","Southeast Alaska nonmetropolitan area","AK","ALASKA","SITKA"
"200001","Southeast Alaska nonmetropolitan area","AK","ALASKA","SKAGWAY"
"200001","Southeast Alaska nonmetropolitan area","AK","ALASKA","FEDERAL AREA"
"200002","Balance of Alaska nonmetropolitan area","AK","ALASKA","SOUTHEAST FAIRBANKS"
"200002","Balance of Alaska nonmetropolitan area","AK","ALASKA","VALDEZ-CORDOVA"
"200002","Balance of Alaska nonmetropolitan area","AK","ALASKA","WADE HAMPTON"
"200001","Southeast Alaska nonmetropolitan area","AK","ALASKA","WRANGELL"
"200001","Southeast Alaska nonmetropolitan area","AK","ALASKA","FEDERAL AREA"
"200001","Southeast Alaska nonmetropolitan area","AK","ALASKA","YAKUTAT"
"200002","Balance of Alaska nonmetropolitan area","AK","ALASKA","YUKON-KOYUKUK"
"400001","Arizona nonmetropolitan area","AZ","ARIZONA","APACHE"
"400001","Arizona nonmetropolitan area","AZ","ARIZONA","GILA"
"400001","Arizona nonmetropolitan area","AZ","ARIZONA","GRAHAM"
"400001","Arizona nonmetropolitan area","AZ","ARIZONA","GREENLEE"
"400001","Arizona nonmetropolitan area","AZ","ARIZONA","LA PAZ"
"400001","Arizona nonmetropolitan area","AZ","ARIZONA","NAVAJO"
"400001","Arizona nonmetropolitan area","AZ","ARIZONA","SANTA CRUZ"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","ARKANSAS"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","ASHLEY"
"500001","North Arkansas nonmetropolitan area","AR","ARKANSAS","BAXTER"
"500001","North Arkansas nonmetropolitan area","AR","ARKANSAS","BOONE"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","BRADLEY"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","CALHOUN"
"500001","North Arkansas nonmetropolitan area","AR","ARKANSAS","CARROLL"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","CHICOT"
"500003","West Arkansas nonmetropolitan area","AR","ARKANSAS","CLARK"
"500002","East Arkansas nonmetropolitan area","AR","ARKANSAS","CLAY"
"500001","North Arkansas nonmetropolitan area","AR","ARKANSAS","CLEBURNE"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","COLUMBIA"
"500003","West Arkansas nonmetropolitan area","AR","ARKANSAS","CONWAY"
"500002","East Arkansas nonmetropolitan area","AR","ARKANSAS","CROSS"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","DALLAS"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","DESHA"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","DREW"
"500003","West Arkansas nonmetropolitan area","AR","ARKANSAS","FRANKLIN"
"500001","North Arkansas nonmetropolitan area","AR","ARKANSAS","FULTON"
"500002","East Arkansas nonmetropolitan area","AR","ARKANSAS","GREENE"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","HEMPSTEAD"
"500003","West Arkansas nonmetropolitan area","AR","ARKANSAS","HOT SPRINGS"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","HOWARD"
"500001","North Arkansas nonmetropolitan area","AR","ARKANSAS","INDEPENDENCE"
"500001","North Arkansas nonmetropolitan area","AR","ARKANSAS","IZARD"
"500001","North Arkansas nonmetropolitan area","AR","ARKANSAS","JACKSON"
"500003","West Arkansas nonmetropolitan area","AR","ARKANSAS","JOHNSON"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","LAFAYETTE"
"500002","East Arkansas nonmetropolitan area","AR","ARKANSAS","LAWRENCE"
"500002","East Arkansas nonmetropolitan area","AR","ARKANSAS","LEE"
"500003","West Arkansas nonmetropolitan area","AR","ARKANSAS","LOGAN"
"500001","North Arkansas nonmetropolitan area","AR","ARKANSAS","MARION"
"500002","East Arkansas nonmetropolitan area","AR","ARKANSAS","MISSISSIPPI"
"500002","East Arkansas nonmetropolitan area","AR","ARKANSAS","MONROE"
"500003","West Arkansas nonmetropolitan area","AR","ARKANSAS","MONTGOMERY"
"500004","South Arkansas nonmetropolitan area","AR","ARKANSAS","NEVADA"
"500001","North Arkansas nonmetropolitan area","AR","ARKANSAS","NEWTON"
"1900004","Southeast Iowa nonmetropolitan area","IA","IOWA","LOUISA"
"1900003","Southwest Iowa nonmetropolitan area","IA","IOWA","LUCAS"
"1900002","Northwest Iowa nonmetropolitan area","IA","IOWA","LYON"
"1900004","Southeast Iowa nonmetropolitan area","IA","IOWA","MAHASKA"
"1900004","Southeast Iowa nonmetropolitan area","IA","IOWA","MARION"
"1900004","Southeast Iowa nonmetropolitan area","IA","IOWA","MARSHALL"
"1900001","Northeast Iowa nonmetropolitan area","IA","IOWA","MITCHELL"
"1900003","Southwest Iowa nonmetropolitan area","IA","IOWA","MONONA"
"1900004","Southeast Iowa nonmetropolitan area","IA","IOWA","MONROE"
"1900003","Southwest Iowa nonmetropolitan area","IA","IOWA","MONTGOMERY"
"1900004","Southeast Iowa nonmetropolitan area","IA","IOWA","MUSCATINE"
"1900002","Northwest Iowa nonmetropolitan area","IA","IOWA","O BRIEN"
"1900002","Northwest Iowa nonmetropolitan area","IA","IOWA","OSCEOLA"
"1900003","Southwest Iowa nonmetropolitan area","IA","IOWA","PAGE"
"1900002","Northwest Iowa nonmetropolitan area","IA","IOWA","PALO ALTO"
"1900002","Northwest Iowa nonmetropolitan area","IA","IOWA","POCAHONTAS"
"1900004","Southeast Iowa nonmetropolitan area","IA","IOWA","POWESHIEK"
"1900003","Southwest Iowa nonmetropolitan area","IA","IOWA","RINGGOLD"
"1900002","Northwest Iowa nonmetropolitan area","IA","IOWA","SAC"
"1900003","Southwest Iowa nonmetropolitan area","IA","IOWA","SHELBY"
"1900002","Northwest Iowa nonmetropolitan area","IA","IOWA","SIOUX"
"1900004","Southeast Iowa nonmetropolitan area","IA","IOWA","TAMA"
"1900003","Southwest Iowa nonmetropolitan area","IA","IOWA","TAYLOR"
